Datos_fch_hr,Datos_eje_x,Datos_eje_y,Datos_eje_z,Datos_tmp_s,Datos_tmp_loc
26-10-2021 03:50:18,-0.1,-0.6,-10.59,0,\N
26-10-2021 03:50:19,0.27,0.6,-8.95,0,\N
26-10-2021 03:50:20,-0.7,-0.04,-9.3,0,\N
26-10-2021 03:50:21,0.03,-0.01,-11.04,0,\N
26-10-2021 03:50:22,0.3,0.49,-9.88,0,\N
26-10-2021 03:50:23,-0.85,-0.45,-10.46,0,\N
26-10-2021 03:50:24,0.41,0.56,-9.8,0,\N
26-10-2021 03:50:25,0.47,0.16,-11.01,0,\N
26-10-2021 03:50:26,-0.35,0.34,-9.86,0,\N
26-10-2021 03:50:27,-0.25,-0.72,-11.41,0,\N
26-10-2021 03:50:28,-0.5,-0.5,-10.83,0,\N
26-10-2021 03:50:29,0.13,0.91,-8.67,0,\N
26-10-2021 03:50:30,0,-0.19,-10.38,0,\N
26-10-2021 03:50:31,0.53,0.36,-11.24,0,\N
26-10-2021 03:50:32,-0.18,-0.44,-10.1,0,\N
26-10-2021 03:50:33,0.04,0.72,-9.2,0,\N
26-10-2021 03:50:34,0.32,-0.26,-10.34,0,\N
26-10-2021 03:50:35,0.2,0.02,-10.19,0,\N
26-10-2021 03:50:36,0.5,0.42,-11.12,0,\N
26-10-2021 03:50:37,-0.05,-0.27,-9.94,0,\N
26-10-2021 03:50:38,-0.28,-0.43,-10.84,0,\N
26-10-2021 03:50:39,-0.13,0.17,-10.34,0,\N
26-10-2021 03:50:40,0.14,-0.07,-9.91,0,\N
26-10-2021 03:50:41,0.42,0.56,-11.41,0,\N
26-10-2021 03:50:42,-0.37,-0.32,-10.47,0,\N
26-10-2021 03:50:43,-0.22,0.28,-9.36,0,\N
26-10-2021 03:50:44,-0.47,-0.52,-10.2,0,\N
26-10-2021 03:50:45,0.15,-0.11,-10.23,0,\N
26-10-2021 03:50:46,0.53,0.61,-10.8,0,\N
26-10-2021 03:50:47,-0.89,-0.4,-10.7,0,\N
26-10-2021 03:50:48,-0.12,0.25,-9.42,0,\N
26-10-2021 03:50:49,0.17,0.57,-10.01,0,\N
26-10-2021 03:50:50,-0.03,0.08,-10.39,0,\N
26-10-2021 03:50:51,-0.01,0.25,-10.42,0,\N
26-10-2021 03:50:52,0.29,-0.01,-11.21,0,\N
26-10-2021 03:50:53,0.16,0.49,-9.96,0,\N
26-10-2021 03:50:54,-0.63,-0.25,-10.76,0,\N
26-10-2021 03:50:55,0.56,0.05,-10.98,0,\N
26-10-2021 03:50:56,0.61,-0.09,-10.72,0,\N
26-10-2021 03:50:57,0.79,0.18,-10.66,0,\N
26-10-2021 03:50:58,-0.03,0.1,-9.74,0,\N
26-10-2021 03:50:59,-0.88,-1.21,-11.06,0,\N
26-10-2021 03:51:00,0.12,0.06,-10.67,0,\N
26-10-2021 03:51:01,-0.4,0.05,-10.24,0,\N
26-10-2021 03:51:02,-0.04,-0.94,-11.11,0,\N
26-10-2021 03:51:03,0.46,0.1,-10.72,0,\N
26-10-2021 03:51:04,0.16,0.19,-9.96,0,\N
26-10-2021 03:51:05,-0.14,0.03,-10.72,0,\N
26-10-2021 03:51:06,0.88,0.45,-9.45,0,\N
26-10-2021 03:51:07,-1.03,-0.63,-10.42,0,\N
26-10-2021 03:51:08,-0.2,-0.11,-10.73,0,\N
26-10-2021 03:51:09,0.24,0.26,-9.54,0,\N
26-10-2021 03:51:10,-0.07,-0.75,-11.49,0,\N
26-10-2021 03:51:11,-0.34,-0.08,-10.2,0,\N
26-10-2021 03:51:12,0.11,0.3,-9.92,0,\N
26-10-2021 03:51:13,-0.06,0.21,-9.82,0,\N
26-10-2021 03:51:14,0.48,0.49,-9.53,0,\N
26-10-2021 03:51:15,0.65,0.36,-9.54,0,\N
26-10-2021 03:51:16,-0.55,-0.98,-10.58,0,\N
26-10-2021 03:51:17,-0.1,0.9,-10.21,0,\N
26-10-2021 03:51:18,0.12,-0.16,-11.64,0,\N
26-10-2021 03:51:19,-0.13,0.21,-10.39,0,\N
26-10-2021 03:51:20,0.27,-0.08,-9.45,0,\N
26-10-2021 03:51:21,-0.28,0.42,-9.58,0,\N
26-10-2021 03:51:22,-0.02,0.4,-10.15,0,\N
26-10-2021 03:51:23,0.15,-0.58,-10.72,0,\N
26-10-2021 03:51:24,-0.04,0.22,-10.16,0,\N
26-10-2021 03:51:25,0.95,0.04,-10.52,0,\N
26-10-2021 03:51:26,0.03,0.77,-9.45,0,\N
26-10-2021 03:51:27,-0.88,-0.21,-10.7,0,\N
26-10-2021 03:51:28,-0.47,0.4,-9.96,0,\N
26-10-2021 03:51:29,-0.14,0.25,-9.78,0,\N
26-10-2021 03:51:30,0.02,0.41,-10.13,0,\N
26-10-2021 03:51:31,0.53,-0.23,-11.07,0,\N
26-10-2021 03:51:32,0.15,0.2,-10.02,0,\N
26-10-2021 03:51:33,-0.02,0.59,-9.56,0,\N
26-10-2021 03:51:34,0.29,0.29,-10.7,0,\N
26-10-2021 03:51:35,-0.12,0.52,-9.52,0,\N
26-10-2021 03:51:36,0.18,0.15,-10.37,0,\N
26-10-2021 03:51:37,-0.8,-0.2,-9.85,0,\N
26-10-2021 03:51:38,-0.04,0.38,-10.11,0,\N
26-10-2021 03:51:39,0.71,-0.53,-11.58,0,\N
26-10-2021 03:51:40,-0.3,0.28,-10.06,0,\N
26-10-2021 03:51:41,-0.37,-0.98,-11.06,0,\N
26-10-2021 03:51:42,-0.19,0.34,-9.71,0,\N
26-10-2021 03:51:43,-0.18,0.51,-10.17,0,\N
26-10-2021 03:51:44,-0.05,0.69,-9.21,0,\N
26-10-2021 03:51:45,0.46,1,-9.31,0,\N
26-10-2021 03:51:46,0.14,0.12,-9.68,0,\N
26-10-2021 03:51:47,0.39,0.74,-9.74,0,\N
26-10-2021 03:51:48,0.29,-0.39,-10.45,0,\N
26-10-2021 03:51:49,0.12,-0.08,-10.22,0,\N
26-10-2021 03:51:50,0.41,0.34,-9.56,0,\N
26-10-2021 03:51:51,-1.07,0.11,-9.95,0,\N
26-10-2021 03:51:52,-0.12,-0.56,-10.79,0,\N
26-10-2021 03:51:53,0.08,0.55,-10.13,0,\N
26-10-2021 03:51:54,-0.33,0.53,-9.43,0,\N
26-10-2021 03:51:55,-0.29,-0.25,-10.58,0,\N
26-10-2021 03:51:56,0.21,0.47,-9.74,0,\N
26-10-2021 03:51:57,0.32,0.56,-9.6,0,\N
26-10-2021 03:51:57,-0.76,-0.34,-10.55,0,\N
26-10-2021 03:51:58,0.33,-0.14,-11.08,0,\N
26-10-2021 03:51:59,0.66,0.29,-10.8,0,\N
26-10-2021 03:52:00,-0.21,-1.08,-11.22,0,\N
26-10-2021 03:52:01,-0.17,-0.31,-10.34,0,\N
26-10-2021 03:52:02,-0.23,-0.14,-10.34,0,\N
26-10-2021 03:52:03,-0.24,0.31,-9.75,0,\N
26-10-2021 03:52:04,0.02,-0.27,-9.88,0,\N
26-10-2021 03:52:05,0.49,0.86,-10.73,0,\N
26-10-2021 03:52:06,0.08,0.23,-10.33,0,\N
26-10-2021 03:52:07,-0.03,0.03,-10.53,0,\N
26-10-2021 03:52:08,0.52,0.21,-10.83,0,\N
26-10-2021 03:52:09,-0.01,-0.22,-10.89,0,\N
26-10-2021 03:52:10,0.35,0.32,-10.15,0,\N
26-10-2021 03:52:11,0.11,0.92,-9.47,0,\N
26-10-2021 03:52:12,0.34,-0.07,-10.21,0,\N
26-10-2021 03:52:13,0.12,0.48,-9.7,0,\N
26-10-2021 03:52:14,0.62,-0.12,-11.06,0,\N
26-10-2021 03:52:15,0.2,-0.16,-10.34,0,\N
26-10-2021 03:52:16,0.08,-0.08,-10.78,0,\N
26-10-2021 03:52:17,0.46,-0.05,-10.68,0,\N
26-10-2021 03:52:18,0.03,0.19,-10.22,0,\N
26-10-2021 03:52:19,-0.94,-0.08,-10.52,0,\N
26-10-2021 03:52:20,-0.42,-0.61,-10.77,0,\N
26-10-2021 03:52:21,0.49,0.6,-9.28,0,\N
26-10-2021 03:52:22,0.41,-0.02,-10.09,0,\N
26-10-2021 03:52:23,0.01,0.2,-9.63,0,\N
26-10-2021 03:52:24,-0.61,-0.09,-10.79,0,\N
26-10-2021 03:52:25,0.73,0.83,-10.43,0,\N
26-10-2021 03:52:26,0.46,1.01,-9.15,0,\N
26-10-2021 03:52:27,0.09,0.53,-9.44,0,\N
26-10-2021 03:52:28,-0.06,0.64,-10.48,0,\N
26-10-2021 03:52:29,-0.21,0.21,-10.41,0,\N
26-10-2021 03:52:30,0.11,-0.89,-11.14,0,\N
26-10-2021 03:52:31,-0.72,-0.66,-11.01,0,\N
26-10-2021 03:52:32,-0.75,0.26,-9.66,0,\N
26-10-2021 03:52:33,-0.1,-0.03,-10.75,0,\N
26-10-2021 03:52:34,0.17,0.2,-10.4,0,\N
26-10-2021 03:52:35,0.31,-0.22,-10.65,0,\N
26-10-2021 03:52:36,0.78,0.71,-10.27,0,\N
26-10-2021 03:52:37,-0.86,-0.24,-10.62,0,\N
26-10-2021 03:52:38,-0.39,0.05,-10.38,0,\N
26-10-2021 03:52:39,0.39,-0.7,-11.29,0,\N
26-10-2021 03:52:40,-0.08,0.61,-9.71,0,\N
26-10-2021 03:52:41,-0.67,-0.51,-10.64,0,\N
26-10-2021 03:52:42,0.43,0.45,-10.01,0,\N
26-10-2021 03:52:43,-0.27,-0.1,-10.51,0,\N
26-10-2021 03:52:44,-0.2,-0.52,-10.43,0,\N
26-10-2021 03:52:45,-0.09,0.31,-10.77,0,\N
26-10-2021 03:52:46,-0.71,0.13,-9.52,0,\N
26-10-2021 03:52:47,0.25,0.21,-9.78,0,\N
26-10-2021 03:52:48,0.05,0.77,-9.93,0,\N
26-10-2021 03:52:49,0.28,1.04,-9.66,0,\N
26-10-2021 03:52:50,-0.25,-1.16,-11.19,0,\N
26-10-2021 03:52:51,-0.21,0.22,-9.32,0,\N
26-10-2021 03:52:52,-0.16,0.19,-10.06,0,\N
26-10-2021 03:52:53,0.01,-0.06,-10.34,0,\N
26-10-2021 03:52:54,0.32,-0.01,-10.62,0,\N
26-10-2021 03:52:55,0.1,-0.67,-10.6,0,\N
26-10-2021 03:52:56,-0.47,0.18,-10.23,0,\N
26-10-2021 03:52:57,0.43,0.13,-10.03,0,\N
26-10-2021 03:52:58,-0.48,0.09,-10.13,0,\N
26-10-2021 03:52:59,0.02,0.6,-9.73,0,\N
26-10-2021 03:53:00,-0.01,-0.64,-10.43,0,\N
26-10-2021 03:53:01,-1.13,-0.34,-10.49,0,\N
26-10-2021 03:53:02,-0.04,-0.14,-9.81,0,\N
26-10-2021 03:53:03,0.34,0.15,-9.98,0,\N
26-10-2021 03:53:04,0.15,-0.27,-9.99,0,\N
26-10-2021 03:53:05,0.81,0.38,-10.79,0,\N
26-10-2021 03:53:06,-0.22,-0.51,-10.72,0,\N
26-10-2021 03:53:07,-0.23,0.11,-10.34,0,\N
26-10-2021 03:53:08,0.12,0.11,-9.79,0,\N
26-10-2021 03:53:09,0.3,0.26,-9.77,0,\N
26-10-2021 03:53:10,0.07,-0.52,-11.22,0,\N
26-10-2021 03:53:11,0.25,0.15,-10.26,0,\N
26-10-2021 03:53:12,0.41,0.68,-9.43,0,\N
26-10-2021 03:53:13,-1.02,-0.76,-10.04,0,\N
26-10-2021 03:53:14,0.24,0.48,-9.83,0,\N
26-10-2021 03:53:15,-0.14,0.65,-10.25,0,\N
26-10-2021 03:53:16,0.06,-0.12,-10.61,0,\N
26-10-2021 03:53:17,0.14,0.01,-10.66,0,\N
26-10-2021 03:53:18,-0.14,-0.71,-10.63,0,\N
26-10-2021 03:53:19,0.1,-0.27,-10.78,0,\N
26-10-2021 03:53:20,-0.08,-0.29,-9.41,0,\N
26-10-2021 03:53:21,0.29,0.24,-10.33,0,\N
26-10-2021 03:53:22,-0.11,0.16,-9.61,0,\N
26-10-2021 03:53:23,0.07,-0.18,-10.85,0,\N
26-10-2021 03:53:24,-0.48,0.31,-9.49,0,\N
26-10-2021 03:53:25,0.22,0.83,-10.1,0,\N
26-10-2021 03:53:26,-0.16,-0.6,-10.48,0,\N
26-10-2021 03:53:27,0.01,0.65,-9.62,0,\N
26-10-2021 03:53:28,-0.26,-0.77,-10.27,0,\N
26-10-2021 03:53:29,-0.18,0.28,-10.15,0,\N
26-10-2021 03:53:30,0.3,0.11,-10.69,0,\N
26-10-2021 03:53:31,-0.4,0.21,-9.99,0,\N
26-10-2021 03:53:32,-0.12,-0.11,-10.51,0,\N
26-10-2021 03:53:33,0.16,-0.37,-10.53,0,\N
26-10-2021 03:53:34,-0.12,-1.29,-10.61,0,\N
26-10-2021 03:53:35,0.27,0.28,-10.59,0,\N
26-10-2021 03:53:36,0.99,-0.06,-11.02,0,\N
26-10-2021 03:53:37,0.08,0.5,-10.08,0,\N
26-10-2021 03:53:38,0.12,0.27,-9.9,0,\N
26-10-2021 03:53:39,0.18,0.26,-9.83,0,\N
26-10-2021 03:53:40,-0.48,-0.06,-9.64,0,\N
26-10-2021 03:53:41,0.2,0.44,-10.68,0,\N
26-10-2021 03:53:42,0.63,1.13,-10.06,0,\N
26-10-2021 03:53:43,-0.42,-1.42,-11.23,0,\N
26-10-2021 03:53:44,0.29,-0.49,-10.81,0,\N
26-10-2021 03:53:45,0.16,-0.19,-10.23,0,\N
26-10-2021 03:53:46,0.24,0.26,-10.49,0,\N
26-10-2021 03:53:47,-0.08,-1.02,-11.04,0,\N
26-10-2021 03:53:48,0.59,0.98,-9.26,0,\N
26-10-2021 03:53:49,-0.96,-0.69,-11.07,0,\N
26-10-2021 03:53:50,0.16,-0.01,-10.86,0,\N
26-10-2021 03:53:51,0.56,0.74,-10.03,0,\N
26-10-2021 03:53:52,-0.43,-0.84,-11.33,0,\N
26-10-2021 03:53:53,0.53,0.78,-9.17,0,\N
26-10-2021 03:53:54,-0.22,-0.15,-10.15,0,\N
26-10-2021 03:53:55,0.02,-0.36,-9.79,0,\N
26-10-2021 03:53:56,-0.09,0.41,-10.35,0,\N
26-10-2021 03:53:57,0.12,0.17,-9.88,0,\N
26-10-2021 03:53:58,-0.56,-0.85,-11.01,0,\N
26-10-2021 03:53:59,-0.69,-0.27,-10.1,0,\N
26-10-2021 03:54:00,-0.49,-0.51,-10.82,0,\N
26-10-2021 03:54:01,0.15,0.75,-9.61,0,\N
26-10-2021 03:54:02,0.23,1.31,-9.23,0,\N
26-10-2021 03:54:03,-0.79,-0.63,-10.85,0,\N
26-10-2021 03:54:04,-1.03,0.26,-9.24,0,\N
26-10-2021 03:54:05,-0.1,0.71,-9.75,0,\N
26-10-2021 03:54:06,0.12,-0.72,-11.12,0,\N
26-10-2021 03:54:07,-0.66,-0.43,-11.27,0,\N
26-10-2021 03:54:08,-0.72,-0.51,-10.99,0,\N
26-10-2021 03:54:09,-0.06,0.27,-9.5,0,\N
26-10-2021 03:54:10,0.13,1.09,-9.42,0,\N
26-10-2021 03:54:11,0.04,-0.68,-11.29,0,\N
26-10-2021 03:54:12,0.12,-0.14,-9.73,0,\N
26-10-2021 03:54:13,0.6,-0.05,-11.06,0,\N
