Datos_fch_hr,Datos_eje_x,Datos_eje_y,Datos_eje_z
6/5/2021 23:36,-0.46,2.72,1.01
6/5/2021 23:36,2.77,-0.15,-7.52
6/5/2021 23:36,0.17,1.35,-3.28
6/5/2021 23:36,-0.41,4.01,0.02
6/5/2021 23:36,0.37,1.47,-2.88
6/5/2021 23:36,0.4,1.16,-4.33
6/5/2021 23:36,-0.18,1.01,-2.6
6/5/2021 23:36,1.21,0.03,-6.5
6/5/2021 23:36,0.2,0.35,-4.13
6/5/2021 23:36,-0.37,2.16,-2.4
6/5/2021 23:36,0.79,-1.68,-9.45
6/5/2021 23:36,0.61,1.52,-2.69
6/5/2021 23:36,0.83,0.81,-4.71
6/5/2021 23:36,2.62,-0.49,-7.79
6/5/2021 23:36,0.36,-1.07,-9.24
6/5/2021 23:36,-0.18,2.5,-2.03
6/5/2021 23:36,-0.23,-1.34,-9.81
6/5/2021 23:36,2.32,0.09,-7.06
6/5/2021 23:36,1.18,-0.61,-8.26
6/5/2021 23:36,0.11,2.39,-2.89
6/5/2021 23:36,0.37,2.37,-2.17
6/5/2021 23:36,-0.48,3.66,-1.06
6/5/2021 23:36,0.43,1.34,-3.31
6/5/2021 23:36,-1.65,2.14,-1.04
6/5/2021 23:36,0.36,0.89,-4.73
6/5/2021 23:36,0.35,-1.98,-9.69
6/5/2021 23:36,1.43,0.11,-5.91
6/5/2021 23:36,1.05,-0.49,-7.12
6/5/2021 23:36,0.3,-0.96,-8.33
6/5/2021 23:36,-0.31,2.51,-0.83
6/5/2021 23:36,-0.19,0.63,-3.86
6/5/2021 23:36,0.39,-0.89,-8.98
6/5/2021 23:36,1.14,-1.3,-8.87
6/5/2021 23:36,0.67,-0.09,-8.11
6/5/2021 23:36,1.59,-1.52,-8.46
6/5/2021 23:36,1.01,4.32,2.27
6/5/2021 23:36,0.22,0.4,-4.58
6/5/2021 23:36,0.46,-0.43,-8.12
6/5/2021 23:36,1.29,-0.22,-7.68
6/5/2021 23:36,0.65,0.49,-5.3
6/5/2021 23:36,1.19,-1.16,-7.84
6/5/2021 23:36,0.29,-0.07,-5.93
6/5/2021 23:36,-0.05,1.34,-3.3
6/5/2021 23:36,0.93,0.37,-5.78
6/5/2021 23:36,0.96,0.77,-5.41
6/5/2021 23:36,0.55,0.03,-5.99
6/5/2021 23:36,0.4,1.84,-2.56
6/5/2021 23:36,-0.34,3.25,-1.34
6/5/2021 23:36,0.42,1.08,-4.93
6/5/2021 23:36,0.97,0.48,-6.71
6/5/2021 23:36,0.23,0.49,-5.37
6/5/2021 23:36,0.23,-0.04,-6.91
6/5/2021 23:36,0.05,0.13,-6.96
6/5/2021 23:36,0.82,0.78,-6.4
6/5/2021 23:36,1.23,0.32,-5.77
6/5/2021 23:36,1.63,0.69,-5.69
6/5/2021 23:36,0.43,0.67,-6.23
6/5/2021 23:36,0.51,1.34,-3.8
6/5/2021 23:36,0.13,-1.61,-9.81
6/5/2021 23:36,0.93,-0.27,-6.88
6/5/2021 23:36,1.32,-0.77,-6.69
6/5/2021 23:36,-0.19,-0.49,-5.69
6/5/2021 23:36,1.29,1.28,-4.01
6/5/2021 23:36,1.46,0.39,-6.52
6/5/2021 23:36,1.19,0.55,-6.38
6/5/2021 23:36,0.29,1.2,-3.49
6/5/2021 23:36,-0.4,0.67,-5.72
6/5/2021 23:36,0.25,-0.29,-7.69
6/5/2021 23:36,0.01,-0.84,-9.05
6/5/2021 23:36,0.31,0.22,-6.24
6/5/2021 23:36,0.01,0.21,-5.85
6/5/2021 23:36,0.21,1.8,-3.27
6/5/2021 23:36,0.59,1.48,-3.95
6/5/2021 23:36,-0.37,1.32,-4.3
6/5/2021 23:36,1.73,0.7,-4.22
6/5/2021 23:37,1.14,-1.7,-8.25
6/5/2021 23:37,-0.24,0.74,-5.51
6/5/2021 23:37,2.09,0.39,-5.23
6/5/2021 23:37,0.14,1.58,-3.53
6/5/2021 23:37,0.61,-0.54,-5.32
6/5/2021 23:37,-0.2,-0.04,-6.9
6/5/2021 23:37,1.29,-0.95,-8.07
6/5/2021 23:37,0.14,1.42,-3.74
6/5/2021 23:37,1.85,0.88,-5.08
6/5/2021 23:37,1.66,0.11,-5.28
6/5/2021 23:37,0.67,-0.09,-6.52
6/5/2021 23:37,0.39,-1.32,-9.81
6/5/2021 23:37,0.67,0.15,-6.72
6/5/2021 23:37,-0.94,0.15,-7.78
6/5/2021 23:37,0.19,1.2,-3
6/5/2021 23:37,-0.04,0.39,-5.17
6/5/2021 23:37,1.17,0.54,-4.5
6/5/2021 23:37,1.41,1.41,-2.78
6/5/2021 23:37,0.34,1.53,-3.4
6/5/2021 23:37,0.76,0.69,-3.96
6/5/2021 23:37,0.51,0.22,-5.85
6/5/2021 23:37,1.56,0.47,-5.59
6/5/2021 23:37,0.92,0.32,-5.54
6/5/2021 23:37,-0.27,1.1,-4.04
6/5/2021 23:37,0.37,0.25,-5.92
6/5/2021 23:37,-0.02,0.82,-5.25
6/5/2021 23:37,0.87,0.91,-4.85
6/5/2021 23:37,0.63,1.1,-5.45
6/5/2021 23:37,0.66,0.57,-5.06
6/5/2021 23:37,0.29,0.91,-3.51
6/5/2021 23:37,-0.08,1.21,-3.84
6/5/2021 23:37,0.81,0.7,-5.75
6/5/2021 23:37,0.59,0.4,-4.67
6/5/2021 23:37,1.68,0.53,-5.28
6/5/2021 23:37,0.25,1.33,-2.25
6/5/2021 23:37,0.05,0.64,-4.55
