Datos_fch_hr,Datos_eje_x,Datos_eje_y,Datos_eje_z
2021-01-01 0:00:00,0.5,0.59,-5.14
2021-01-01 0:00:01,0.46,0.58,-5.19
2021-01-01 0:00:02,0.46,0.59,-5.17
2021-01-01 0:00:03,0.46,0.59,-5.2
2021-01-01 0:00:04,0.48,0.59,-5.16
2021-01-01 0:00:05,0.49,0.61,-5.14
2021-01-01 0:00:06,0.49,0.59,-5.16
2021-01-01 0:00:07,0.48,0.61,-5.13
2021-01-01 0:00:08,0.49,0.6,-5.18
2021-01-01 0:00:09,0.46,0.58,-5.17
2021-01-01 0:00:10,0.47,0.61,-5.2
2021-01-01 0:00:11,0.48,0.59,-5.14
2021-01-01 0:00:12,0.49,0.58,-5.17
2021-01-01 0:00:13,0.49,0.6,-5.18
2021-01-01 0:00:14,0.48,0.62,-5.17
2021-01-01 0:00:15,0.48,0.57,-5.2
2021-01-01 0:00:16,0.49,0.59,-5.13
2021-01-01 0:00:17,0.51,0.57,-5.23
2021-01-01 0:00:18,0.46,0.6,-5.18
2021-01-01 0:00:19,0.48,0.56,-5.19
2021-01-01 0:00:20,0.51,0.59,-5.19
2021-01-01 0:00:21,0.47,0.58,-5.15
2021-01-01 0:00:22,0.51,0.58,-5.17
2021-01-01 0:00:23,0.49,0.58,-5.15
2021-01-01 0:00:24,0.49,0.58,-5.19
2021-01-01 0:00:25,0.46,0.61,-5.15
2021-01-01 0:00:26,0.51,0.58,-5.2
2021-01-01 0:00:27,0.5,0.6,-5.14
2021-01-01 0:00:28,0.49,0.59,-5.18
2021-01-01 0:00:29,0.45,0.59,-5.15
2021-01-01 0:00:30,0.49,0.58,-5.18
2021-01-01 0:00:31,0.49,0.58,-5.2
2021-01-01 0:00:32,0.47,0.6,-5.14
2021-01-01 0:00:33,0.47,0.59,-5.18
2021-01-01 0:00:34,0.47,0.57,-5.11
2021-01-01 0:00:35,0.49,0.61,-5.18
2021-01-01 0:00:36,0.49,0.59,-5.2
2021-01-01 0:00:37,0.45,0.57,-5.16
2021-01-01 0:00:38,0.5,0.6,-5.16
2021-01-01 0:00:39,0.48,0.58,-5.18
2021-01-01 0:00:40,0.49,0.57,-5.2
2021-01-01 0:00:41,0.5,0.6,-5.17
2021-01-01 0:00:42,0.47,0.57,-5.19
2021-01-01 0:00:43,0.48,0.58,-5.22
2021-01-01 0:00:44,0.47,0.58,-5.17
2021-01-01 0:00:45,0.48,0.6,-5.2
2021-01-01 0:00:46,0.46,0.6,-5.19
2021-01-01 0:00:47,0.47,0.57,-5.13
2021-01-01 0:00:48,0.49,0.59,-5.18
2021-01-01 0:00:49,0.46,0.6,-5.18
2021-01-01 0:00:50,0.5,0.57,-5.16
2021-01-01 0:00:51,0.49,0.57,-5.11
2021-01-01 0:00:52,0.48,0.61,-5.2
2021-01-01 0:00:53,0.51,0.57,-5.15
2021-01-01 0:00:54,0.48,0.56,-5.16
2021-01-01 0:00:55,0.49,0.6,-5.18
2021-01-01 0:00:56,0.46,0.6,-5.13
2021-01-01 0:00:57,0.48,0.57,-5.15
2021-01-01 0:00:58,0.48,0.62,-5.14
2021-01-01 0:00:59,0.49,0.6,-5.16
2021-01-01 0:01:00,0.5,0.58,-5.16
2021-01-01 0:01:01,0.46,0.59,-5.16
2021-01-01 0:01:02,0.48,0.57,-5.22
2021-01-01 0:01:03,0.49,0.56,-5.16
2021-01-01 0:01:04,0.49,0.57,-5.15
2021-01-01 0:01:05,0.47,0.61,-5.18
2021-01-01 0:01:06,0.5,0.6,-5.18
2021-01-01 0:01:07,0.5,0.57,-5.17
2021-01-01 0:01:08,0.5,0.59,-5.17
2021-01-01 0:01:09,0.49,0.58,-5.16
2021-01-01 0:01:10,0.5,0.63,-5.2
2021-01-01 0:01:11,0.47,0.6,-5.22
2021-01-01 0:01:12,0.5,0.58,-5.14
2021-01-01 0:01:13,0.47,0.58,-5.18
2021-01-01 0:01:14,0.5,0.61,-5.19
2021-01-01 0:01:15,0.48,0.58,-5.18
2021-01-01 0:01:16,0.49,0.62,-5.19
2021-01-01 0:01:17,0.5,0.62,-5.15
2021-01-01 0:01:18,0.47,0.59,-5.16
2021-01-01 0:01:19,0.49,0.6,-5.17
2021-01-01 0:01:20,0.5,0.58,-5.21
2021-01-01 0:01:21,0.49,0.61,-5.18
2021-01-01 0:01:22,0.52,0.58,-5.18
2021-01-01 0:01:23,0.48,0.6,-5.17
2021-01-01 0:01:24,0.46,0.6,-5.17
2021-01-01 0:01:25,0.47,0.6,-5.18
2021-01-01 0:01:26,0.47,0.6,-5.16
2021-01-01 0:01:27,0.51,0.57,-5.14
2021-01-01 0:01:28,0.48,0.58,-5.18
2021-01-01 0:01:29,0.5,0.58,-5.15
2021-01-01 0:01:30,0.49,0.58,-5.16
2021-01-01 0:01:31,0.46,0.56,-5.17
2021-01-01 0:01:32,0.47,0.58,-5.19
2021-01-01 0:01:33,0.44,0.59,-5.15
2021-01-01 0:01:34,0.51,0.59,-5.14
2021-01-01 0:01:35,0.48,0.58,-5.19
2021-01-01 0:01:36,0.5,0.59,-5.18
2021-01-01 0:01:37,0.45,0.57,-5.16
2021-01-01 0:01:38,0.48,0.58,-5.17
2021-01-01 0:01:39,0.47,0.6,-5.15
2021-01-01 0:01:40,0.48,0.58,-5.16
2021-01-01 0:01:41,0.5,0.58,-5.16
2021-01-01 0:01:42,0.48,0.6,-5.15
2021-01-01 0:01:43,0.49,0.56,-5.14
2021-01-01 0:01:44,0.49,0.57,-5.17
2021-01-01 0:01:45,0.5,0.6,-5.2
2021-01-01 0:01:46,0.5,0.57,-5.17
2021-01-01 0:01:47,0.5,0.61,-5.2
2021-01-01 0:01:48,0.49,0.57,-5.16
2021-01-01 0:01:49,0.46,0.59,-5.17
2021-01-01 0:01:50,0.44,0.56,-5.16
2021-01-01 0:01:51,0.48,0.6,-5.17
2021-01-01 0:01:52,0.48,0.6,-5.15
2021-01-01 0:01:53,0.46,0.58,-5.16
2021-01-01 0:01:54,0.49,0.58,-5.15
2021-01-01 0:01:55,0.47,0.57,-5.2
2021-01-01 0:01:56,0.5,0.57,-5.12
2021-01-01 0:01:57,0.5,0.63,-5.17
2021-01-01 0:01:58,0.51,0.6,-5.2
2021-01-01 0:01:59,0.48,0.57,-5.19
2021-01-01 0:02:00,0.49,0.58,-5.15
2021-01-01 0:02:01,0.49,0.59,-5.18
2021-01-01 0:02:02,0.46,0.6,-5.16
2021-01-01 0:02:03,0.47,0.57,-5.18
