Datos_fch_hr,Datos_eje_x,Datos_eje_y,Datos_eje_z
2021-01-01 1:22:54,-0.05,3.48,-0.1
2021-01-01 1:22:55,-0.09,2.45,-1.04
2021-01-01 1:22:56,0.99,0.01,-7.74
2021-01-01 1:22:57,0.36,2.26,-2.39
2021-01-01 1:22:58,0.39,2.05,-1.62
2021-01-01 1:22:59,0.7,-1.52,-7.46
2021-01-01 1:23:00,0.87,-0.37,-8.01
2021-01-01 1:23:01,0.99,-1.5,-8.62
2021-01-01 1:23:02,0.98,-1.24,-8.22
2021-01-01 1:23:03,0.09,3.08,-0.64
2021-01-01 1:23:04,-0.33,2.96,-0.59
2021-01-01 1:23:05,0.83,-0.56,-6.26
2021-01-01 1:23:06,0.21,2.08,-3.11
2021-01-01 1:23:07,0.46,0.34,-4.56
2021-01-01 1:23:08,1.14,-1.39,-8.78
2021-01-01 1:23:09,0.19,3.1,-0.14
2021-01-01 1:23:10,1.14,-1.69,-8.14
2021-01-01 1:23:11,0.88,0.04,-7.54
2021-01-01 1:23:12,0.08,2.74,-0.76
2021-01-01 1:23:13,0.68,-0.59,-5.77
2021-01-01 1:23:14,0.89,0.33,-7.03
2021-01-01 1:23:15,0.08,2.86,-0.54
2021-01-01 1:23:16,0.13,3.1,-0.08
2021-01-01 1:23:17,1.17,-1.31,-8.56
2021-01-01 1:23:18,0.95,0.03,-7.4
2021-01-01 1:23:19,0.61,-1.31,-8.34
2021-01-01 1:23:20,1.03,-1.67,-8.63
2021-01-01 1:23:21,1.2,0.53,-6.51
2021-01-01 1:23:22,0.84,-0.9,-8.14
2021-01-01 1:23:23,-0.03,3.46,-0.2
2021-01-01 1:23:24,0.87,-1.66,-8.68
2021-01-01 1:23:25,0.06,2.09,-3.17
2021-01-01 1:23:26,-0.1,4,0.41
2021-01-01 1:23:27,1.34,-1.74,-9.01
2021-01-01 1:23:28,1.18,-1.7,-8.26
2021-01-01 1:23:29,0.28,1.87,-3.85
2021-01-01 1:23:30,-0.26,3.51,-0.45
2021-01-01 1:23:31,0.11,3.53,-0.51
2021-01-01 1:23:32,0.01,3.32,-0.05
2021-01-01 1:23:33,0.63,-1.78,-8.09
