Datos_fch_hr,Datos_eje_x,Datos_eje_y,Datos_eje_z
2021-10-26 0:00:01,1.02,-1.27,-8.88
2021-10-26 0:00:02,0.79,-1.71,-8.4
2021-10-26 0:00:03,0.61,-0.76,-6.39
2021-10-26 0:00:04,0.63,0.95,-5.57
2021-10-26 0:00:05,0.65,-1.24,-8.34
2021-10-26 0:00:06,1.09,-1.32,-8.66
2021-10-26 0:00:07,0.69,-0.98,-6.6
2021-10-26 0:00:08,-0.14,2.56,-1.81
2021-10-26 0:00:09,0.77,1.52,-5.22
2021-10-26 0:00:10,0.08,2.83,-0.56
2021-10-26 0:00:11,0.66,-1.71,-7.24
2021-10-26 0:00:12,1.55,-1.39,-8.41
2021-10-26 0:00:13,0.92,0.35,-7.06
2021-10-26 0:00:14,1.38,-1.36,-8.46
2021-10-26 0:00:15,0.99,-1.48,-9
2021-10-26 0:00:16,1.29,-1.43,-8.38
2021-10-26 0:00:17,0.76,-1.65,-7.67
2021-10-26 0:00:18,0.93,-1.65,-7.33
2021-10-26 0:00:19,0.07,0.35,-5.25
2021-10-26 0:00:20,-0.03,2,-1.52
2021-10-26 0:00:21,0.71,2.24,-4.05
2021-10-26 0:00:22,0.96,-1.67,-7.75
2021-10-26 0:00:23,0.41,0.07,-5.52
2021-10-26 0:00:24,0.89,-1.54,-9.13
2021-10-26 0:00:25,0.85,-1.31,-8.5
2021-10-26 0:00:26,0.45,1.98,-4.38
2021-10-26 0:00:27,0.84,0.55,-6.59
2021-10-26 0:00:28,1.51,-1.16,-8.46
2021-10-26 0:00:29,0.53,-1.08,-7.87
2021-10-26 0:00:30,0.39,0.99,-3.86
2021-10-26 0:00:31,0.36,1.07,-3.83
2021-10-26 0:00:32,0.49,2.08,-4.24
2021-10-26 0:00:33,0.61,-1.52,-6.73
2021-10-26 0:00:34,0.41,1.98,-3.98
2021-10-26 0:00:35,0,3.01,-0.96
2021-10-26 0:00:36,0.25,2.1,-1.63
2021-10-26 0:00:37,0.14,2.94,-0.92
2021-10-26 0:00:38,0.54,0.48,-4.99
2021-10-26 0:00:39,-0.26,3.58,-0.24
2021-10-26 0:00:40,0.59,0.6,-4.71
2021-10-26 0:00:41,0.72,1.76,-4.44
2021-10-26 0:00:42,0.97,-0.06,-7.1
2021-10-26 0:00:43,0.96,-1.52,-9.09
2021-10-26 0:00:44,0.44,0.76,-4.47
2021-10-26 0:00:45,0.63,-1.14,-8.22
2021-10-26 0:00:46,0.92,-1.47,-6.88
2021-10-26 0:00:47,1.16,-1.41,-8.66
2021-10-26 0:00:48,0.58,1.95,-4.29
2021-10-26 0:00:49,0.93,-1.2,-8.58
2021-10-26 0:00:50,0.82,-1.37,-8.96
2021-10-26 0:00:51,0.02,2.54,-0.78
2021-10-26 0:00:52,0.08,2.83,-1.47
2021-10-26 0:00:53,0.04,2.64,-1.41
2021-10-26 0:00:54,0.03,3.25,-0.03
2021-10-26 0:00:55,0.47,0.77,-4.65
2021-10-26 0:00:56,0.35,-1.18,-8.42
2021-10-26 0:00:57,0.28,1.9,-4.27
2021-10-26 0:00:58,0.72,-1.02,-8.34
2021-10-26 0:00:59,0.09,2.1,-1.58
2021-10-26 0:01:00,1.23,-1.61,-8.88
2021-10-26 0:01:01,0.16,2.32,-1.41
2021-10-26 0:01:02,0.4,1.91,-4.38
2021-10-26 0:01:03,0.4,0.27,-5.43
2021-10-26 0:01:04,0.54,-0.77,-8.24
2021-10-26 0:01:05,0.4,2.18,-1.49
2021-10-26 0:01:06,0.8,0.28,-6.85
2021-10-26 0:01:07,0.37,2.03,-4.15
2021-10-26 0:01:08,-0.05,2.01,-3.74
2021-10-26 0:01:09,-0.17,3.54,-0.49
2021-10-26 0:01:10,0.4,1.76,-4.36
2021-10-26 0:01:11,0.6,-0.92,-8.13
2021-10-26 0:01:12,0.97,0.25,-6.72
2021-10-26 0:01:13,0.5,-1.09,-8.33
2021-10-26 0:01:14,-0.06,2.94,-1.1
2021-10-26 0:01:15,0.83,0.6,-6.64
2021-10-26 0:01:16,0.97,-1.47,-8.7
2021-10-26 0:01:17,0.6,-1.57,-8.87
2021-10-26 0:01:18,0.67,-0.05,-5.67
2021-10-26 0:01:19,-0.1,3.32,-0.03
2021-10-26 0:01:20,0.14,1.51,-2.99
2021-10-26 0:01:21,1.61,-1.22,-8.85
2021-10-26 0:01:22,0.47,1.03,-5.7
2021-10-26 0:01:23,0.73,-0.74,-8.41
2021-10-26 0:01:24,1.24,-1.3,-9.09
