Datos_fch_hr,Datos_eje_x,Datos_eje_y,Datos_eje_z,Datos_tmp_s,Datos_tmp_loc
26-10-2021 01:43:51,0.05,0.47,-9.35,0,\N
26-10-2021 01:43:52,0.11,0.71,-10.01,0,\N
26-10-2021 01:43:53,0.03,0.09,-10.25,0,\N
26-10-2021 01:43:54,-0.04,0.19,-10.33,0,\N
26-10-2021 01:43:55,0,0.36,-10.09,0,\N
26-10-2021 01:43:56,-0.05,0.23,-10.45,0,\N
26-10-2021 01:43:57,0.24,-0.34,-10.41,0,\N
26-10-2021 01:43:58,0.1,0.19,-9.9,0,\N
26-10-2021 01:43:59,-0.55,-0.2,-10.19,0,\N
26-10-2021 01:44:00,0.1,0.01,-10.23,0,\N
26-10-2021 01:44:01,-0.36,-0.07,-10.25,0,\N
26-10-2021 01:44:02,0.13,-0.45,-10.63,0,\N
26-10-2021 01:44:03,-0.26,0.23,-10.53,0,\N
26-10-2021 01:44:04,-0.39,0.28,-9.85,0,\N
26-10-2021 01:44:05,0.07,-0.48,-10.03,0,\N
26-10-2021 01:44:06,0.16,-0.36,-10.56,0,\N
26-10-2021 01:44:07,0.16,-0.07,-10.57,0,\N
26-10-2021 01:44:08,-0.27,0.01,-10.09,0,\N
26-10-2021 01:44:09,-0.34,0.24,-10.03,0,\N
26-10-2021 01:44:10,-0.19,0.17,-9.82,0,\N
26-10-2021 01:44:11,-0.18,0.21,-10.14,0,\N
26-10-2021 01:44:12,0.33,0.21,-10.48,0,\N
26-10-2021 01:44:13,0.06,-0.55,-10.27,0,\N
26-10-2021 01:44:14,-0.12,-0.06,-10.22,0,\N
26-10-2021 01:44:15,0.16,-0.09,-10.49,0,\N
26-10-2021 01:44:16,0.3,-0.2,-10.5,0,\N
26-10-2021 01:44:17,0.19,0.01,-10.49,0,\N
26-10-2021 01:44:18,-0.11,0.29,-10.36,0,\N
26-10-2021 01:44:19,-0.04,0.04,-10.19,0,\N
26-10-2021 01:44:20,-0.16,0.28,-9.95,0,\N
26-10-2021 01:44:21,-0.18,0.46,-10.24,0,\N
