,pronostico
0,0.0033126021921634006
1,-0.1
2,0.83
3,-0.030000000000000006
4,-0.49
5,0.42
6,-0.67
7,0.22
8,0.27
9,-0.15999999999999998
10,-0.19
11,-0.52
12,-0.4799999999999999
13,0.28
14,-1.28
15,0.019999999999999997
16,0.4799999999999999
17,-0.07
18,-0.74
19,0.18
20,0.49
21,0.010000000000000007
22,0.039999999999999994
23,-0.009999999999999992
24,-0.35
25,0.28
26,0.27
27,-0.45
28,0.42
29,-0.15
30,-0.1
31,0.83
32,-0.030000000000000006
33,-0.49
34,0.42
35,-0.67
36,0.22
37,0.27
38,-0.15999999999999998
39,-0.19
40,-0.52
41,-0.4799999999999999
42,0.28
43,-1.28
44,0.019999999999999997
45,0.4799999999999999
46,-0.07
47,-0.74
48,0.18
49,0.49
50,0.010000000000000007
51,0.039999999999999994
52,-0.009999999999999992
53,-0.35
54,0.28
55,0.27
56,-0.45
57,0.42
58,-0.15
59,-0.14
60,0.83
61,-0.030000000000000006
62,-0.49
63,0.42
64,-0.67
65,0.22
66,0.27
67,-0.15999999999999998
68,-0.19
69,-0.52
70,-0.4799999999999999
71,0.28
72,-1.28
73,0.019999999999999997
74,0.4799999999999999
75,-0.07
76,-0.74
77,0.18
78,0.49
79,0.010000000000000007
80,0.039999999999999994
81,-0.009999999999999992
82,-0.35
83,0.28
84,0.27
85,-0.45
86,0.42
87,-0.15
88,-0.14
89,0.25
90,-0.030000000000000006
91,-0.49
92,0.42
93,-0.67
94,0.22
95,0.27
96,-0.15999999999999998
97,-0.19
98,-0.52
99,-0.4799999999999999
100,0.28
101,-1.28
102,0.019999999999999997
103,0.4799999999999999
104,-0.07
105,-0.74
106,0.18
107,0.49
108,0.010000000000000007
109,0.039999999999999994
110,-0.009999999999999992
111,-0.35
112,0.28
113,0.27
114,-0.45
115,0.42
116,-0.15
117,-0.14
118,0.25
119,-0.28
120,-0.49
121,0.42
122,-0.67
123,0.22
124,0.27
125,-0.15999999999999998
126,-0.19
127,-0.52
128,-0.4799999999999999
129,0.28
130,-1.28
131,0.019999999999999997
132,0.4799999999999999
133,-0.07
134,-0.74
135,0.18
136,0.49
137,0.010000000000000007
138,0.039999999999999994
139,-0.009999999999999992
140,-0.35
141,0.28
142,0.27
143,-0.45
144,0.42
145,-0.15
146,-0.14
147,0.25
148,-0.28
149,-0.09000000000000001
150,0.42
151,-0.67
152,0.22
153,0.27
154,-0.15999999999999998
155,-0.19
156,-0.52
157,-0.4799999999999999
158,0.28
159,-1.28
160,0.019999999999999997
161,0.4799999999999999
162,-0.07
163,-0.74
164,0.18
165,0.49
166,0.010000000000000007
167,0.039999999999999994
168,-0.009999999999999992
169,-0.35
170,0.28
171,0.27
172,-0.45
173,0.42
174,-0.15
175,-0.14
176,0.25
177,-0.28
178,-0.09000000000000001
179,0.11
180,-0.67
181,0.22
182,0.27
183,-0.15999999999999998
184,-0.19
185,-0.52
186,-0.4799999999999999
187,0.28
188,-1.28
189,0.019999999999999997
190,0.4799999999999999
191,-0.07
192,-0.74
193,0.18
194,0.49
195,0.010000000000000007
196,0.039999999999999994
197,-0.009999999999999992
198,-0.35
199,0.28
200,0.27
201,-0.45
202,0.42
203,-0.15
204,-0.14
205,0.25
206,-0.28
207,-0.09000000000000001
208,0.11
209,0.17
210,0.22
211,0.27
212,-0.15999999999999998
213,-0.19
214,-0.52
215,-0.4799999999999999
216,0.28
217,-1.28
218,0.019999999999999997
219,0.4799999999999999
220,-0.07
221,-0.74
222,0.18
223,0.49
224,0.010000000000000007
225,0.039999999999999994
226,-0.009999999999999992
227,-0.35
228,0.28
229,0.27
230,-0.45
231,0.42
232,-0.15
233,-0.14
234,0.25
235,-0.28
236,-0.09000000000000001
237,0.11
238,0.17
239,0.54
240,0.27
241,-0.15999999999999998
242,-0.19
243,-0.52
244,-0.4799999999999999
245,0.28
246,-1.28
247,0.019999999999999997
248,0.4799999999999999
249,-0.07
250,-0.74
251,0.18
252,0.49
253,0.010000000000000007
254,0.039999999999999994
255,-0.009999999999999992
256,-0.35
257,0.28
258,0.27
259,-0.45
260,0.42
261,-0.15
262,-0.14
263,0.25
264,-0.28
265,-0.09000000000000001
266,0.11
267,0.17
268,0.54
269,-0.51
270,-0.15999999999999998
271,-0.19
272,-0.52
273,-0.4799999999999999
274,0.28
275,-1.28
276,0.019999999999999997
277,0.4799999999999999
278,-0.07
279,-0.74
280,0.18
281,0.49
282,0.010000000000000007
283,0.039999999999999994
284,-0.009999999999999992
285,-0.35
286,0.28
287,0.27
288,-0.45
289,0.42
290,-0.15
291,-0.14
292,0.25
293,-0.28
294,-0.09000000000000001
295,0.11
296,0.17
297,0.54
298,-0.51
299,0.3
300,-0.19
301,-0.52
302,-0.4799999999999999
303,0.28
304,-1.28
305,0.019999999999999997
306,0.4799999999999999
307,-0.07
308,-0.74
309,0.18
310,0.49
311,0.010000000000000007
312,0.039999999999999994
313,-0.009999999999999992
314,-0.35
315,0.28
316,0.27
317,-0.45
318,0.42
319,-0.15
320,-0.14
321,0.25
322,-0.28
323,-0.09000000000000001
324,0.11
325,0.17
326,0.54
327,-0.51
328,0.3
329,0.23
330,-0.52
331,-0.4799999999999999
332,0.28
333,-1.28
334,0.019999999999999997
335,0.4799999999999999
336,-0.07
337,-0.74
338,0.18
339,0.49
340,0.010000000000000007
341,0.039999999999999994
342,-0.009999999999999992
343,-0.35
344,0.28
345,0.27
346,-0.45
347,0.42
348,-0.15
349,-0.14
350,0.25
351,-0.28
352,-0.09000000000000001
353,0.11
354,0.17
355,0.54
356,-0.51
357,0.3
358,0.23
359,0.34
360,-0.4799999999999999
361,0.28
362,-1.28
363,0.019999999999999997
364,0.4799999999999999
365,-0.07
366,-0.74
367,0.18
368,0.49
369,0.010000000000000007
370,0.039999999999999994
371,-0.009999999999999992
372,-0.35
